1,Aroi Cafe,0
2,Bahn Thai,0
3,Chick Fil A,0
4,Chipotle ,0
5,Chon Ju Jip,0
6,Corner Bakery Cafe,0
7,Crab Hut,0
8,Dae Jang Keum,0
9,Dumpling Inn,0
10,El Pollo Loco,0
11,Et Voila Bistro,0
12,Flame Broiler,0
13,Fung Fung Yuen,0
14,Grandmas Tofu House,0
15,Gyukaku BBQ,0
16,Hash House a Go Go,0
17,Hinotez,0
18,IHOP,0
19,Ikea,0
20,Ironside Fish and Oyster,0
21,Jasmine,0
22,Joyees,0
23,KFC,0
24,King Bistro,0
25,Kroran,0
26,L and L Hawaiian BBQ,0
27,Madasao,0
28,McDonalds,0
29,Mitsuwa Marketplace,0
30,MNGO Cafe,0
31,Nishiki Ramen,0
32,Noble Chef,0
33,Nozomi,0
34,Olive Garden,0
35,Outback Steakhouse,0
36,Panda Express,0
37,Phils BBQ,0
38,Pho Banh Mai,0
39,Pho T Cali,0
40,Poke 1 1/2,0
41,Popcorn Chicken Boba Tea,0
42,Popeyes,0
43,Ramen Menma Basso,0
44,Ramen Ultra,0
45,Ranch99 Takeout,0
46,Red Lobster,0
47,Red O,0
48,Rei Do Gado Brazilian Steakhouse,0
49,Shaanxi Magic Kitchen,0
50,Shake Shack,0
51,Siam Nara Thai,0
52,Snooze AM Eatery,0
53,Souplantation,0
54,Spicy House,0
55,Subarashi Poke,0
56,Sushi Exchange,0
57,Tajima Ramen,0
58,Tasty Noodle House,0
59,Wa Okan Dining,0
60,Werewolf,0
61,Yokohama Yakitori,0
62,Zion Foodcourt,0